,phylum,class,order,family,genus,species
2756,Bacillota,Bacilli,Bacillales,Listeriaceae,Brochothrix,Brochothrix thermosphacta
48296,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter pittii
314275,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas mediterranea
1244531,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter iguaniorum
141,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,Borrelia parkeri
1837283,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. S8
1685,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium breve
519472,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,Vagococcus teuberi
176292,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,Secundilactobacillus malefermentans
2608254,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. BS98
1561,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium baratii
2339259,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia hibernica
43263,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas alcaligenes
1879050,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter wuhouensis
2315253,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
50719,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio diabolicus
1674146,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella,Borreliella mayonii
347209,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. J3.40
2610901,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,NA
2610902,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,Halomicrobium sp. LC1Hm
192843,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax ferrireducens
2637784,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Sulfuricellaceae,Sulfuriferula,NA
1985873,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Sulfuricellaceae,Sulfuriferula,Sulfuriferula sp. AH1
1583341,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas cerasi
